,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,5,3,65.0,8450.0,1,0,3,3,4,0,5,2,2,0,5,7.0,5.0,2003.0,2003.0,1,1,12,13,1,196.0,2,4,2,3,4,4,3,706.0,6,0.0,150.0,856.0,1,0,1,4,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,2,8.0,6,0.0,0,1,2003.0,2,2.0,548.0,5,5,2,0.0,61.0,0.0,0.0,0.0,0.0,0,0,0,0.0,2.0,2008.0,8,4
1,0,3,80.0,9600.0,1,0,3,3,2,0,24,1,2,0,2,6.0,8.0,1976.0,1976.0,1,1,8,8,3,0.0,3,4,1,3,4,2,0,978.0,6,0.0,284.0,1262.0,1,0,1,4,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,3,6.0,6,1.0,5,1,1976.0,2,2.0,460.0,5,5,2,298.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5.0,2007.0,8,4
2,5,3,68.0,11250.0,1,0,0,3,4,0,5,2,2,0,5,7.0,5.0,2001.0,2002.0,1,1,12,13,1,162.0,2,4,2,3,4,3,3,486.0,6,0.0,434.0,920.0,1,0,1,4,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,2,6.0,6,1.0,5,1,2001.0,2,2.0,608.0,5,5,2,0.0,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,9.0,2008.0,8,4
3,6,3,60.0,9550.0,1,0,0,3,0,0,6,2,2,0,5,7.0,5.0,1915.0,1970.0,1,1,13,15,3,0.0,3,4,0,4,2,4,0,216.0,6,0.0,540.0,756.0,1,2,1,4,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,2,7.0,6,1.0,3,5,1998.0,3,3.0,642.0,5,5,2,0.0,35.0,272.0,0.0,0.0,0.0,0,0,0,0.0,2.0,2006.0,8,0
4,5,3,84.0,14260.0,1,0,0,3,2,0,15,2,2,0,5,8.0,5.0,2000.0,2000.0,1,1,12,13,1,350.0,2,4,2,3,4,0,3,655.0,6,0.0,490.0,1145.0,1,0,1,4,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,2,9.0,6,1.0,5,1,2000.0,2,3.0,836.0,5,5,2,192.0,84.0,0.0,0.0,0.0,0.0,0,0,0,0.0,12.0,2008.0,8,4
5,4,3,85.0,14115.0,1,0,0,3,4,0,11,2,2,0,0,5.0,5.0,1993.0,1995.0,1,1,12,13,3,0.0,3,4,5,3,4,4,3,732.0,6,0.0,64.0,796.0,1,0,1,4,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,3,5.0,6,0.0,0,1,1993.0,3,2.0,480.0,5,5,2,40.0,30.0,0.0,320.0,0.0,0.0,0,3,3,700.0,10.0,2009.0,8,4
6,0,3,75.0,10084.0,1,0,3,3,4,0,21,2,2,0,2,8.0,5.0,2004.0,2005.0,1,1,12,13,4,186.0,2,4,2,1,4,0,3,1369.0,6,0.0,317.0,1686.0,1,0,1,4,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,3,1,2004.0,2,2.0,636.0,5,5,2,255.0,57.0,0.0,0.0,0.0,0.0,0,0,0,0.0,8.0,2007.0,8,4
7,5,3,68.0,10382.0,1,0,0,3,0,0,14,4,2,0,5,7.0,6.0,1973.0,1973.0,1,1,6,6,4,240.0,3,4,1,3,4,3,0,859.0,1,32.0,216.0,1107.0,1,0,1,4,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,3,7.0,6,2.0,5,1,1973.0,2,2.0,484.0,5,5,2,235.0,204.0,228.0,0.0,0.0,0.0,0,0,3,350.0,11.0,2009.0,8,4
8,4,4,51.0,6120.0,1,0,3,3,4,0,17,0,2,0,0,7.0,5.0,1931.0,1950.0,1,1,3,15,3,0.0,3,4,0,4,4,4,6,0.0,6,0.0,952.0,952.0,1,2,1,1,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,3,8.0,2,2.0,5,5,1931.0,3,2.0,468.0,2,5,2,90.0,0.0,205.0,0.0,0.0,0.0,0,0,0,0.0,4.0,2008.0,8,0
9,15,3,50.0,7420.0,1,0,3,3,0,0,3,0,0,1,1,5.0,6.0,1939.0,1950.0,1,1,8,8,3,0.0,3,4,0,4,4,4,3,851.0,6,0.0,140.0,991.0,1,0,1,4,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,3,5.0,6,2.0,5,1,1939.0,2,1.0,205.0,3,5,2,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,2008.0,8,4
