Dataset,Id,Neighborhood,Exterior1st,Exterior2nd,ExterQual,BsmtQual,KitchenQual,GarageFinish,FireplaceQu,BsmtFinType1,HeatingQC,GarageType,BsmtExposure,MSZoning,Foundation,HouseStyle,MasVnrType,BsmtCond,SaleCondition,ExterCond,SaleType,LotShape,BsmtFinType2,GarageQual,Condition1,Electrical,RoofStyle,CentralAir,LotConfig,BldgType,Fence,LandContour,GarageCond,PavedDrive,Functional,MiscFeature,Alley,Condition2,Heating,RoofMatl,LandSlope,PoolQC,Street
train,0,CollgCr,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,Ex,No,Gd,RFn,Gd,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,1,Veenker,MetalSd,MetalSd,WD,Feedr,1Story,Norm,CompShg,ALQ,Unf,Typ,Attchd,CBlock,TA,Gable,GasA,TA,TA,Normal,1Fam,FR2,TA,Gd,TA,SBrkr,none,none,RL,Ex,Gd,TA,RFn,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,2,CollgCr,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,TA,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,Ex,Mn,Gd,RFn,Gd,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,3,Crawfor,Wd Shng,Wd Sdng,WD,Norm,2Story,Norm,CompShg,ALQ,Unf,Typ,Detchd,BrkTil,Gd,Gable,GasA,TA,TA,Abnorml,1Fam,Corner,TA,TA,Gd,SBrkr,none,none,RL,Gd,No,Gd,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,4,NoRidge,VinylSd,VinylSd,WD,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,TA,Gable,GasA,TA,TA,Normal,1Fam,FR2,TA,Gd,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,5,Mitchel,VinylSd,VinylSd,WD,Norm,1.5Fin,Norm,CompShg,GLQ,Unf,Typ,Attchd,Wood,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,Shed,MnPrv,RL,Ex,No,TA,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,6,Somerst,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,Stone,Lvl,Reg,Gtl,none,Y,Y,Pave
train,7,NWAmes,HdBoard,HdBoard,WD,PosN,2Story,Norm,CompShg,ALQ,BLQ,Typ,Attchd,CBlock,TA,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Gd,TA,SBrkr,Shed,none,RL,Ex,Mn,TA,RFn,TA,none,Stone,Lvl,IR1,Gtl,none,Y,Y,Pave
train,8,OldTown,Wd Shng,BrkFace,WD,Artery,1.5Fin,Norm,CompShg,Unf,Unf,Min1,Detchd,BrkTil,TA,Gable,GasA,Fa,TA,Abnorml,1Fam,Inside,TA,TA,TA,FuseF,none,none,RM,Gd,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,9,BrkSide,MetalSd,MetalSd,WD,Artery,1.5Unf,Artery,CompShg,GLQ,Unf,Typ,Attchd,BrkTil,TA,Gable,GasA,Gd,TA,Normal,2fmCon,Corner,TA,TA,TA,SBrkr,none,none,RL,Ex,No,TA,RFn,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,10,Sawyer,HdBoard,HdBoard,WD,Norm,1Story,Norm,CompShg,Rec,Unf,Typ,Detchd,CBlock,none,Hip,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RL,Ex,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,11,NridgHt,Wd Shng,WdShing,New,Norm,2Story,Norm,CompShg,GLQ,Unf,Typ,BuiltIn,PConc,Gd,Hip,GasA,TA,TA,Partial,1Fam,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,No,Ex,Fin,Ex,none,Stone,Lvl,IR1,Gtl,none,Y,Y,Pave
train,12,Sawyer,Plywood,HdBoard,WD,Norm,1Story,Norm,CompShg,ALQ,Unf,Typ,Detchd,CBlock,none,Hip,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RL,TA,No,TA,Unf,TA,none,None,Lvl,IR2,Gtl,none,Y,Y,Pave
train,13,CollgCr,VinylSd,VinylSd,New,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,Gd,Gable,GasA,TA,TA,Partial,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,Stone,Lvl,IR1,Gtl,none,Y,Y,Pave
train,14,NAmes,MetalSd,MetalSd,WD,Norm,1Story,Norm,CompShg,BLQ,Unf,Typ,Attchd,CBlock,Fa,Hip,GasA,TA,TA,Normal,1Fam,Corner,TA,TA,TA,SBrkr,none,GdWo,RL,TA,No,TA,RFn,TA,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,15,BrkSide,Wd Sdng,Wd Sdng,WD,Norm,1.5Unf,Norm,CompShg,Unf,Unf,Typ,Detchd,BrkTil,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,TA,TA,FuseA,none,GdPrv,RM,Ex,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,16,NAmes,Wd Sdng,Wd Sdng,WD,Norm,1Story,Norm,CompShg,ALQ,Unf,Typ,Attchd,CBlock,TA,Gable,GasA,TA,TA,Normal,1Fam,CulDSac,TA,TA,TA,SBrkr,Shed,none,RL,Ex,No,TA,Fin,TA,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,17,Sawyer,MetalSd,MetalSd,WD,Norm,1Story,Norm,CompShg,none,none,Typ,CarPort,Slab,none,Gable,GasA,TA,TA,Normal,Duplex,Inside,TA,none,none,SBrkr,Shed,none,RL,TA,none,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,18,SawyerW,VinylSd,VinylSd,WD,RRAe,1Story,Norm,CompShg,GLQ,Unf,Typ,Detchd,PConc,none,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,SBrkr,none,none,RL,Ex,No,Gd,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,19,NAmes,Plywood,BrkFace,COD,Norm,1Story,Norm,CompShg,LwQ,Unf,Min1,Attchd,CBlock,none,Hip,GasA,TA,TA,Abnorml,1Fam,Inside,TA,TA,TA,SBrkr,none,MnPrv,RL,TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,20,NridgHt,VinylSd,VinylSd,New,Norm,2Story,Norm,CompShg,Unf,Unf,Typ,BuiltIn,PConc,Gd,Gable,GasA,TA,TA,Partial,1Fam,Corner,TA,Ex,TA,SBrkr,none,none,RL,Ex,Av,Gd,RFn,Gd,none,BrkFace,Lvl,IR1,Gtl,none,Y,Y,Pave
train,21,IDOTRR,Wd Sdng,Wd Sdng,WD,Norm,1.5Unf,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,TA,TA,FuseF,none,GdPrv,RM,Ex,No,Gd,Unf,TA,none,None,Bnk,Reg,Gtl,Grvl,N,Y,Pave
train,22,CollgCr,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,Gd,Hip,GasA,TA,TA,Normal,1Fam,Inside,TA,Gd,TA,SBrkr,none,none,RL,Ex,No,Gd,RFn,Gd,none,BrkFace,Lvl,Reg,Gtl,none,Y,Y,Pave
train,23,MeadowV,CmentBd,CemntBd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,TA,Gable,GasA,TA,TA,Normal,TwnhsE,Inside,TA,Gd,TA,SBrkr,none,none,RM,TA,No,TA,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,24,Sawyer,Plywood,Plywood,WD,Norm,1Story,Norm,CompShg,Rec,ALQ,Typ,Attchd,CBlock,TA,Gable,GasA,TA,TA,Normal,1Fam,Inside,Gd,TA,TA,SBrkr,none,MnPrv,RL,Ex,Mn,Gd,Unf,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
train,25,NridgHt,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,Unf,Unf,Typ,Attchd,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,Gd,TA,SBrkr,none,none,RL,Ex,No,Gd,RFn,Gd,none,Stone,Lvl,Reg,Gtl,none,Y,Y,Pave
train,26,NAmes,Wd Sdng,Wd Sdng,WD,Norm,1Story,Norm,CompShg,BLQ,Rec,Typ,Detchd,CBlock,none,Gable,GasA,TA,TA,Normal,1Fam,Corner,TA,TA,TA,SBrkr,none,none,RL,TA,Mn,Gd,Unf,TA,none,None,Lvl,Reg,Gtl,none,Y,Y,Pave
train,27,NridgHt,VinylSd,VinylSd,WD,Norm,1Story,Norm,CompShg,GLQ,Unf,Typ,Attchd,PConc,Gd,Gable,GasA,TA,TA,Normal,1Fam,Inside,TA,Ex,TA,SBrkr,none,none,RL,Ex,No,Gd,RFn,Gd,none,Stone,Lvl,Reg,Gtl,none,Y,Y,Pave
train,28,NAmes,MetalSd,MetalSd,WD,Norm,1Story,Norm,CompShg,BLQ,Unf,Typ,Attchd,CBlock,Gd,Gable,GasA,TA,TA,Normal,1Fam,CulDSac,TA,TA,TA,SBrkr,none,none,RL,TA,Gd,TA,RFn,TA,none,None,Lvl,IR1,Gtl,none,Y,Y,Pave
