Dataset,Id,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtFullBath,BsmtUnfSF,Fireplaces,FullBath,GarageArea,GarageCars,GarageYrBlt,GrLivArea,HalfBath,LotArea,LotFrontage,MSSubClass,MasVnrArea,MoSold,OpenPorchSF,OverallCond,OverallQual,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
train,0,6.75343791859778,6.75110146893676,3.0,6.561030665896573,0.6931471805599453,5.017279836814924,0.0,2.0,548.0,2.0,2003.0,7.444833273892193,0.6931471805599453,9.042040056544483,4.189654742026425,4.110873864173311,5.2832037287379885,2.0,4.127134385045092,1.791759469228055,7.0,2.1972245773362196,6.75343791859778,0.0,2003.0,2003.0,2008.0
train,1,7.141245122350491,0.0,3.0,6.88653164253051,0.0,5.652489180268651,0.6931471805599453,2.0,460.0,2.0,1976.0,7.141245122350491,0.0,9.169622538697624,4.394449154672439,3.044522437723423,0.0,5.0,0.0,2.1972245773362196,6.0,1.9459101490553132,7.141245122350491,5.700443573390687,1976.0,1976.0,2007.0
train,2,6.825460036255307,6.7650389767805414,3.0,6.18826412308259,0.6931471805599453,6.075346031088684,0.6931471805599453,2.0,608.0,2.0,2001.0,7.488293515159428,0.6931471805599453,9.328212292571072,4.23410650459726,4.110873864173311,5.093750200806762,9.0,3.7612001156935624,1.791759469228055,7.0,1.9459101490553132,6.825460036255307,0.0,2001.0,2002.0,2008.0
train,3,6.8690144506657065,6.6293632534374485,3.0,5.37989735354046,0.6931471805599453,6.293419278846481,0.6931471805599453,1.0,642.0,3.0,1998.0,7.4489161025442,0.0,9.164401140034737,4.110873864173311,4.2626798770413155,0.0,2.0,3.58351893845611,1.791759469228055,7.0,2.0794415416798357,6.6293632534374485,0.0,1915.0,1970.0,2006.0
train,4,7.044032897274685,6.960347729101308,4.0,6.486160788944089,0.6931471805599453,6.19644412779452,0.6931471805599453,2.0,836.0,3.0,2000.0,7.695757990554761,0.6931471805599453,9.565283817736766,4.442651256490317,4.110873864173311,5.860786223465865,12.0,4.442651256490317,1.791759469228055,8.0,2.302585092994046,7.044032897274685,5.262690188904886,2000.0,2000.0,2008.0
train,5,6.680854678790215,6.340359303727752,1.0,6.597145701886651,0.6931471805599453,4.174387269895637,0.0,1.0,480.0,2.0,1993.0,7.217443431696533,0.6931471805599453,9.55506418479516,4.454347296253507,3.9318256327243257,0.0,10.0,3.4339872044851463,1.791759469228055,5.0,1.791759469228055,6.680854678790215,3.713572066704308,1993.0,1995.0,2009.0
train,6,7.43543801981455,0.0,3.0,7.222566018822171,0.6931471805599453,5.762051382780177,0.6931471805599453,2.0,636.0,2.0,2004.0,7.43543801981455,0.0,9.218804450388312,4.330733340286331,3.044522437723423,5.231108616854587,8.0,4.060443010546419,1.791759469228055,8.0,2.0794415416798357,7.430707082545968,5.545177444479562,2004.0,2005.0,2007.0
train,7,7.010311867307229,6.891625897052253,3.0,6.756932389247553,0.6931471805599453,5.37989735354046,1.0986122886681098,2.0,484.0,2.0,1973.0,7.645397699428633,0.6931471805599453,9.247925132303454,4.23410650459726,4.110873864173311,5.484796933490655,11.0,5.3230099791384085,1.9459101490553132,7.0,2.0794415416798357,7.010311867307229,5.4638318050256105,1973.0,1973.0,2009.0
train,8,6.930494765951626,6.6240652277998935,2.0,0.0,0.0,6.859614903654202,1.0986122886681098,2.0,468.0,2.0,1931.0,7.4815557019095165,0.0,8.71948076085107,3.9512437185814275,3.9318256327243257,0.0,4.0,0.0,1.791759469228055,7.0,2.1972245773362196,6.859614903654202,4.51085950651685,1931.0,1950.0,2008.0
train,9,6.982862751468942,0.0,2.0,6.747586526829315,0.6931471805599453,4.948759890378168,1.0986122886681098,1.0,205.0,1.0,1939.0,6.982862751468942,0.0,8.912069097970134,3.9318256327243257,5.25227342804663,0.0,1.0,1.6094379124341003,1.9459101490553132,5.0,1.791759469228055,6.899723107284872,0.0,1939.0,1950.0,2008.0
