Dataset,Id,OverallQual,GrLivArea,GarageCars,GarageArea,FrstFlrSF,FullBath,YearBuilt,GarageYrBlt,YearRemodAdd,TotRmsAbvGrd,Fireplaces,OpenPorchSF,MasVnrArea,LotArea,TotalBsmtSF,LotFrontage,WoodDeckSF,HalfBath,BsmtFullBath,BedroomAbvGr,BsmtUnfSF,BsmtFinSF1,SndFlrSF,MoSold,YrSold,MSSubClass,OverallCond,SalePrice
train,0,7.0,7.444833273892193,2.0,548.0,6.75343791859778,2.0,2003.0,2003.0,2003.0,2.1972245773362196,0.0,4.127134385045092,5.2832037287379885,9.042040056544483,6.75343791859778,4.189654742026425,4.653960350157523,0.6931471805599453,0.6931471805599453,3.0,5.017279836814924,6.561030665896573,6.75110146893676,2.0,2008.0,4.110873864173311,1.791759469228055,5.344723739362192
train,1,6.0,7.141245122350491,2.0,460.0,7.141245122350491,2.0,1976.0,1976.0,1976.0,1.9459101490553132,0.6931471805599453,3.6109179126442243,6.336825731146441,9.169622538697624,7.141245122350491,4.394449154672439,5.700443573390687,0.0,0.0,3.0,5.652489180268651,6.88653164253051,4.976733742420574,5.0,2007.0,3.044522437723423,2.1972245773362196,5.206750173022546
train,2,7.0,7.488293515159428,2.0,608.0,6.825460036255307,2.0,2001.0,2001.0,2002.0,1.9459101490553132,0.6931471805599453,3.7612001156935624,5.093750200806762,9.328212292571072,6.825460036255307,4.23410650459726,5.1647859739235145,0.6931471805599453,0.6931471805599453,3.0,6.075346031088684,6.18826412308259,6.7650389767805414,9.0,2008.0,4.110873864173311,1.791759469228055,5.413875707182309
train,3,7.0,7.4489161025442,3.0,642.0,6.8690144506657065,1.0,1915.0,1998.0,1970.0,2.0794415416798357,0.6931471805599453,3.58351893845611,6.626717749249025,9.164401140034737,6.6293632534374485,4.110873864173311,5.262690188904886,0.0,0.6931471805599453,3.0,6.293419278846481,5.37989735354046,6.6293632534374485,2.0,2006.0,4.2626798770413155,1.791759469228055,4.948759890378168
train,4,8.0,7.695757990554761,3.0,836.0,7.044032897274685,2.0,2000.0,2000.0,2000.0,2.302585092994046,0.6931471805599453,4.442651256490317,5.860786223465865,9.565283817736766,7.044032897274685,4.442651256490317,5.262690188904886,0.6931471805599453,0.6931471805599453,4.0,6.19644412779452,6.486160788944089,6.960347729101308,12.0,2008.0,4.110873864173311,1.791759469228055,5.5254529391317835
train,5,5.0,7.217443431696533,2.0,480.0,6.680854678790215,1.0,1993.0,1993.0,1995.0,1.791759469228055,0.0,3.4339872044851463,5.831882477283517,9.55506418479516,6.680854678790215,4.454347296253507,3.713572066704308,0.6931471805599453,0.6931471805599453,1.0,4.174387269895637,6.597145701886651,6.340359303727752,10.0,2009.0,3.9318256327243257,1.791759469228055,4.969813299576001
train,6,8.0,7.43543801981455,2.0,636.0,7.43543801981455,2.0,2004.0,2004.0,2005.0,2.0794415416798357,0.6931471805599453,4.060443010546419,5.231108616854587,9.218804450388312,7.430707082545968,4.330733340286331,5.545177444479562,0.0,0.6931471805599453,3.0,5.762051382780177,7.222566018822171,5.733341276897746,8.0,2007.0,3.044522437723423,1.791759469228055,5.730099782973574
train,7,7.0,7.645397699428633,2.0,484.0,7.010311867307229,2.0,1973.0,1973.0,1973.0,2.0794415416798357,1.0986122886681098,5.3230099791384085,5.484796933490655,9.247925132303454,7.010311867307229,4.23410650459726,5.4638318050256105,0.6931471805599453,0.6931471805599453,3.0,5.37989735354046,6.756932389247553,6.891625897052253,11.0,2009.0,4.110873864173311,1.9459101490553132,5.303304908059076
train,8,7.0,7.4815557019095165,2.0,468.0,6.930494765951626,2.0,1931.0,1931.0,1950.0,2.1972245773362196,1.0986122886681098,3.9512437185814275,6.499787040655854,8.71948076085107,6.859614903654202,3.9512437185814275,4.51085950651685,0.0,0.0,2.0,6.859614903654202,5.814130531825066,6.6240652277998935,4.0,2008.0,3.9318256327243257,1.791759469228055,4.874433672915854
train,9,5.0,6.982862751468942,1.0,205.0,6.982862751468942,1.0,1939.0,1939.0,1950.0,1.791759469228055,1.0986122886681098,1.6094379124341003,4.820281565605037,8.912069097970134,6.899723107284872,3.9318256327243257,4.564348191467836,0.0,0.6931471805599453,2.0,4.948759890378168,6.747586526829315,5.53338948872752,1.0,2008.0,5.25227342804663,1.9459101490553132,4.77912349311153
train,10,5.0,6.947937068614969,1.0,384.0,6.947937068614969,1.0,1965.0,1965.0,1965.0,1.791759469228055,0.0,3.9318256327243257,5.231108616854587,9.32375833901174,6.947937068614969,4.2626798770413155,5.568344503761097,0.0,0.6931471805599453,3.0,4.90527477843843,6.810142450115136,4.836281906951478,2.0,2008.0,3.044522437723423,1.791759469228055,4.871373226762748
train,11,9.0,7.751475318021456,3.0,736.0,7.075808863978387,3.0,2005.0,2005.0,2006.0,2.4849066497880004,1.0986122886681098,3.091042453358316,5.659482215759621,9.386392315756542,7.069874128458572,4.454347296253507,4.997212273764115,0.0,0.6931471805599453,4.0,5.181783550292085,6.906754778648554,7.04141166379481,7.0,2006.0,4.110873864173311,1.791759469228055,5.846438775057725
train,12,5.0,6.816735880594968,1.0,352.0,6.816735880594968,1.0,1962.0,1962.0,1962.0,1.6094379124341003,0.0,4.812184355372417,4.007333185232471,9.470317173335742,6.816735880594968,4.23410650459726,4.948759890378168,0.0,0.6931471805599453,2.0,5.170483995038151,6.6039438246004725,5.41610040220442,9.0,2008.0,3.044522437723423,1.9459101490553132,4.976733742420574
train,13,7.0,7.3098814858247865,3.0,840.0,7.3098814858247865,2.0,2006.0,2006.0,2007.0,2.0794415416798357,0.6931471805599453,3.5263605246161616,5.726847747587197,9.273596821611198,7.3098814858247865,4.5217885770490405,5.081404364984463,0.0,0.0,3.0,7.3098814858247865,5.937536205082426,5.53338948872752,8.0,2007.0,3.044522437723423,1.791759469228055,5.636573724962751
